INFO  2020-12-28 15:58:00.894666 crawlCat | Chrome driver is set. Don't remove the browser's window until the end.
DEBUG 2020-12-28 15:58:00.903526 crawlCat | Cat start to crawling 9 number of urls
DEBUG 2020-12-28 15:58:00.903966 crawlCat | Cat crawl the url : https://stocksnap.io/search/trip vacation spot, Current location : 0
DEBUG 2020-12-28 15:58:10.666963 crawlCat | Cat gets the 58741 size page from https://stocksnap.io/search/trip vacation spot
DEBUG 2020-12-28 15:58:10.670739 crawlCat | Get the links, depth 1 > 0 loc
DEBUG 2020-12-28 15:58:10.671565 crawlCat | Success to getting the links : ['/photo/airplane-travel-TXMOZWM2RQ', '/photo/airport-airplane-6T1XCGNKRC', '/photo/pathway-tunnel-68J42K09XH', '/photo/architecture-building-BIL5D73PRC', '/photo/great-wall-7RM6M6VDOX', '/photo/people-crowd-LYYCS3E2I1', '/photo/mountain-highland-2IELTPO3P0', '/photo/nature-landscape-UXXYFO3T2R', '/photo/architecture-building-QP5JOAZN7M', '/photo/machupicchu-landscape-1IXAEMT62N', '/photo/road-path-9WJBMOQ35J', '/photo/airport-airplane-2NCM14AW3Z', '/photo/cow-animal-J11WL1DT1B', '/photo/green-grass-3C7011WDB7', '/photo/landscape-mountain-L2AKPCZ9W8', '/photo/blue-sky-8R1XW6GDBJ', '/photo/road-path-H966MN75RM', '/photo/blue-sky-P24KC3X6VX', '/photo/road-rain-5NCZ4GMIX7', '/photo/woman-car-PPVVBZPC0I', '/photo/woman-sunset-7K6MBVRZN8', '/photo/beack-shore-XVPWPYVIYR', '/photo/woman-holding-HKXLK37PLJ', '/photo/travel-concept-TQBKWVM8G4', '/photo/background-lifestyle-NLD7XULIEB', '/photo/background-travel-HJGIY622S1', '/photo/background-fashion-NJTXPQXCOD', '/photo/fashion-lifestyle-PELOYL0SPD', '/photo/beach-greece-WJD2JVGVRD', '/photo/santorini-greece-FVE0QGKYOC', '/photo/santorini-greece-SNAOZYETD1', '/photo/hand-freedom-KMOCRGXHPP', '/photo/airplane-aviation-6ENESJ34YY', '/photo/aviation-travel-MYT2TPK0CO', '/photo/car-drive-0BAW2749EF', '/photo/mountain-dark-JNC06N7WTP', '/photo/people-woman-16KVWBQUTS', '/photo/airplane-travel-XFWU1LZYUC', '/photo/airplane-travel-I8XMT4U7ZR', '/photo/airplane-travel-YYRIVL1O6M', 'https://shutterstock.7eer.net/AJq9a']
DEBUG 2020-12-28 15:58:10.671680 crawlCat | Cat crawl the url : /photo/airplane-travel-TXMOZWM2RQ, Current location : 1
DEBUG 2020-12-28 15:58:15.632711 crawlCat | Cat gets the 31027 size page from /photo/airplane-travel-TXMOZWM2RQ
DEBUG 2020-12-28 15:58:15.636323 crawlCat | Get the items, get_indices 0 at loc 1
DEBUG 2020-12-28 15:58:15.637539 crawlCat | Success to getting the items : {'img': ['https://cdn.stocksnap.io/img-thumbs/960w/airplane-travel_TXMOZWM2RQ.jpg'], 'alt': ['airplane travel adventure'], 'tags': []}
DEBUG 2020-12-28 15:58:15.637689 crawlCat | Success to store items to family : {'img': ['https://cdn.stocksnap.io/img-thumbs/960w/airplane-travel_TXMOZWM2RQ.jpg'], 'alt': ['airplane travel adventure'], 'tags': []}
DEBUG 2020-12-28 15:58:15.637799 crawlCat | Cat crawl the url : /photo/airport-airplane-6T1XCGNKRC, Current location : 1
DEBUG 2020-12-28 15:58:18.743006 crawlCat | Cat gets the 31006 size page from /photo/airport-airplane-6T1XCGNKRC
DEBUG 2020-12-28 15:58:18.749416 crawlCat | Get the items, get_indices 0 at loc 1
DEBUG 2020-12-28 15:58:18.752263 crawlCat | Success to getting the items : {'img': ['https://cdn.stocksnap.io/img-thumbs/960w/airport-airplane_6T1XCGNKRC.jpg'], 'alt': ['airport airplane runway'], 'tags': []}
DEBUG 2020-12-28 15:58:18.752623 crawlCat | Success to store items to family : {'img': ['https://cdn.stocksnap.io/img-thumbs/960w/airport-airplane_6T1XCGNKRC.jpg'], 'alt': ['airport airplane runway'], 'tags': []}
DEBUG 2020-12-28 15:58:18.752871 crawlCat | Cat crawl the url : /photo/pathway-tunnel-68J42K09XH, Current location : 1
DEBUG 2020-12-28 15:58:23.018544 crawlCat | Cat gets the 30304 size page from /photo/pathway-tunnel-68J42K09XH
DEBUG 2020-12-28 15:58:23.025699 crawlCat | Get the items, get_indices 0 at loc 1
DEBUG 2020-12-28 15:58:23.028524 crawlCat | Success to getting the items : {'img': ['https://cdn.stocksnap.io/img-thumbs/960w/pathway-tunnel_68J42K09XH.jpg'], 'alt': ['pathway tunnel pattern'], 'tags': []}
DEBUG 2020-12-28 15:58:23.028893 crawlCat | Success to store items to family : {'img': ['https://cdn.stocksnap.io/img-thumbs/960w/pathway-tunnel_68J42K09XH.jpg'], 'alt': ['pathway tunnel pattern'], 'tags': []}
DEBUG 2020-12-28 15:58:23.029217 crawlCat | Cat crawl the url : /photo/architecture-building-BIL5D73PRC, Current location : 1
ERROR 2020-12-28 15:58:24.591759 crawlCat | ERROR KEYBOARD : Detect the ctrl+c.
INFO  2020-12-28 15:58:24.593998 crawlCat | Cat saves the 3 number of family to /home/park/myCrawling/modules/crawlCat/crawlCat/demo/outputs/final-2020-12-28-15:58:24.593175.json
INFO  2020-12-28 15:58:24.594204 crawlCat | Quit the crawlCat, Bye-nya~
